AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
124,-121,55,-36,122,88,0
85,-50,40,-24,84,56,0
85,-51,58,-39,83,56,0
94,-61,47,-30,90,67,0
101,-59,60,-41,96,60,0
123,-119,58,-39,117,95,0
109,-68,69,-49,101,85,0
118,-108,100,-85,104,72,0
106,-68,41,-24,104,82,0
122,-111,36,-20,108,80,0
107,-75,72,-53,105,81,0
107,-62,115,-107,85,63,0
78,-44,81,-62,77,51,0
84,-25,95,-78,77,57,0
92,-58,63,-44,90,68,0
106,-67,41,-25,96,71,0
88,-51,56,-37,86,60,0
122,-113,63,-44,111,78,0
106,-68,51,-32,96,75,0
121,-117,77,-58,110,82,0
121,-118,48,-30,115,90,0
111,-69,77,-58,102,86,0
98,-55,52,-34,89,56,0
100,-59,68,-49,84,52,0
100,-64,53,-34,93,71,0
108,-71,47,-29,107,81,0
109,-73,82,-63,107,95,0
102,-70,86,-68,98,65,0
78,-43,80,-61,76,49,0
120,-117,95,-78,113,73,0
123,-118,41,-24,121,96,0
124,-117,73,-54,114,94,0
121,-117,54,-36,117,93,0
106,-68,82,-63,99,79,0
120,-110,48,-30,110,73,0
116,-110,66,-46,99,98,0
120,-110,72,-52,100,67,0
104,-115,46,-29,112,87,0
123,-118,57,-38,115,108,0
103,-70,67,-47,102,73,0
109,-68,48,-30,103,80,0
119,-113,58,-39,100,75,0
90,-54,50,-32,87,64,0
104,-70,48,-30,100,77,0
95,-63,87,-69,87,58,0
86,-61,18,-7,96,69,0
121,-115,48,-31,108,102,0
118,-108,64,-45,101,71,0
120,-115,63,-44,108,87,0
123,-119,39,-23,120,103,0
125,-121,50,-32,120,89,0
116,-111,71,-51,100,98,0
113,-75,40,-24,109,100,0
125,-123,90,-72,125,120,0
110,-118,43,-26,110,100,0
111,-114,56,-37,103,80,0
116,-104,42,-25,103,67,0
121,-118,43,-26,115,101,0
98,-57,54,-35,89,56,0
87,-51,64,-45,90,67,0
94,-61,47,-30,90,67,0
118,-113,45,-28,111,87,0
100,-54,83,-65,92,84,0
121,-124,86,-68,113,104,0
123,-112,43,-26,115,93,0
108,-70,42,-25,102,86,0
78,-40,84,-66,71,36,0
107,-67,117,-110,87,62,0
118,-117,59,-40,112,81,0
119,-110,54,-36,111,73,0
106,-100,66,-47,92,63,0
118,-112,93,-77,108,97,0
100,-70,86,-68,97,65,0
98,-102,63,-44,90,63,0
84,-61,20,-8,98,68,0
101,-70,84,-65,98,62,0
84,-46,53,-34,84,56,0
104,-67,91,-73,96,70,0
109,-110,17,-6,103,79,0
90,-70,23,-10,97,77,0
106,-68,56,-37,97,76,0
85,-42,61,-42,77,50,0
108,-70,77,-58,101,61,0
113,-61,57,-38,97,76,0
120,-120,46,-28,121,95,0
117,-111,55,-37,110,82,0
121,-112,110,-100,105,79,0
108,-67,53,-35,103,63,0
107,-113,36,-20,109,82,0
84,-45,70,-50,81,59,0
91,-59,49,-31,85,55,0
87,-51,79,-60,82,62,0
125,-119,60,-40,122,91,0
105,-112,20,-8,108,83,0
127,-126,92,-75,127,122,0
118,-115,76,-57,106,97,0
105,-69,77,-58,96,80,0
106,-71,81,-63,102,80,0
113,-61,57,-38,97,76,0
97,-73,47,-29,101,88,0
104,-64,92,-76,96,70,0
109,-110,19,-8,103,81,0
90,-53,75,-56,90,68,0
115,-74,60,-40,111,78,0
111,-62,51,-33,98,56,0
117,-114,68,-48,111,71,0
112,-115,92,-75,110,73,0
109,-111,18,-7,103,81,0
109,-68,46,-29,102,85,0
121,-116,62,-43,111,82,0
112,-104,124,-122,96,45,0
120,-111,121,-116,104,57,0
119,-118,59,-40,120,70,0
120,-119,88,-71,113,103,0
122,-119,81,-62,113,87,0
104,-66,43,-26,100,89,0
99,-69,97,-81,102,83,0
120,-115,78,-59,112,81,0
100,-67,64,-45,98,69,0
80,-48,78,-59,75,43,0
118,-110,73,-53,109,74,0
118,-112,64,-45,113,94,0
112,-65,43,-26,101,65,0
107,-65,65,-46,100,78,0
100,-63,74,-55,94,74,0
94,-60,68,-49,87,70,0
122,-117,56,-37,115,106,0
85,-43,76,-57,83,54,0
116,-112,89,-72,94,83,0
114,-106,30,-16,107,71,0
124,-118,60,-41,114,85,0
123,-121,67,-48,118,94,0
120,-114,54,-35,110,71,0
120,-109,114,-106,100,62,0
101,-71,52,-33,103,62,0
105,-70,64,-44,105,70,0
107,-72,75,-56,99,60,0
123,-120,94,-77,115,101,0
122,-118,58,-39,115,86,0
113,-74,54,-35,105,90,0
120,-112,62,-43,108,82,0
123,-121,91,-74,117,89,0
101,-62,53,-34,91,68,0
127,-123,63,-43,124,100,0
113,-103,72,-53,104,104,0
82,-48,82,-63,80,50,0
121,-116,70,-51,114,81,0
102,-64,51,-32,95,71,0
108,-67,54,-36,104,63,0
121,-117,59,-40,114,95,0
123,-115,42,-25,115,101,0
114,-110,68,-49,98,85,0
98,-64,79,-60,94,52,0
109,-111,15,-5,106,77,0
90,-29,113,-103,76,49,0
103,-114,51,-33,105,77,0
117,-115,56,-38,107,67,0
123,-117,93,-76,116,100,0
120,-116,35,-19,111,80,0
117,-109,65,-46,101,88,0
115,-116,25,-12,112,91,0
107,-75,70,-51,105,82,0
83,-19,21,-9,79,55,0
125,-124,88,-70,120,105,0
116,-114,81,-62,103,90,0
104,-69,57,-38,97,76,0
105,-64,52,-34,94,58,0
72,-78,53,-35,80,85,0
113,-71,58,-39,105,88,0
110,-68,40,-23,103,82,0
122,-115,75,-56,109,73,0
110,-110,17,-6,106,81,0
87,-51,74,-55,89,55,0
105,-74,83,-64,101,71,0
121,-113,42,-25,114,83,0
109,-73,60,-41,107,67,0
117,-107,83,-64,101,89,0
109,-73,59,-40,103,87,0
109,-69,50,-32,101,61,0
88,-47,50,-31,77,54,0
99,-66,48,-30,91,61,0
123,-117,58,-39,118,86,0
85,-66,50,-31,94,77,0
108,-112,43,-26,110,97,0
103,-65,46,-29,95,62,0
122,-117,39,-23,116,87,0
107,-74,78,-59,101,85,0
89,-69,37,-21,96,81,0
102,-60,120,-115,85,57,0
101,-72,63,-44,103,70,0
122,-118,64,-44,113,86,0
105,-67,49,-31,94,65,0
112,-106,45,-27,101,70,0
126,-126,76,-57,126,108,0
70,-19,41,-24,59,37,0
96,-61,56,-37,92,62,0
115,-71,51,-32,103,78,0
88,-53,67,-48,81,46,0
110,-107,82,-64,107,61,0
123,-115,46,-28,115,95,0
122,-112,118,-112,106,76,0
116,-113,60,-41,105,63,0
104,-65,93,-77,98,70,0
100,-62,52,-33,93,56,0
88,-56,44,-27,91,74,0
118,-115,59,-40,107,67,0
124,-113,36,-20,111,79,0
107,-69,41,-24,106,90,0
101,-61,59,-40,91,62,0
103,-65,37,-21,95,77,0
115,-68,41,-24,105,61,0
123,-120,69,-50,114,80,0
121,-117,59,-40,114,95,0
121,-122,58,-39,124,101,0
109,-71,39,-22,99,76,0
105,-66,61,-42,102,57,0
123,-115,68,-49,119,81,0
123,-117,57,-38,117,106,0
110,-65,82,-63,101,89,0
121,-109,45,-28,108,81,0
94,-59,51,-33,92,65,0
92,-63,65,-46,89,92,0
91,-69,39,-23,98,82,0
114,-114,59,-40,108,66,0
109,-65,65,-46,99,82,0
123,-118,96,-80,112,94,0
122,-116,49,-31,115,93,0
107,-74,83,-64,109,95,0
103,-60,48,-30,92,77,0
111,-63,44,-26,94,64,0
100,-65,42,-25,96,88,0
121,-112,40,-24,113,92,0
117,-112,49,-31,114,79,0
62,-76,53,-34,81,88,0
106,-64,124,-122,87,52,0
120,-117,39,-23,117,93,0
120,-115,72,-52,113,84,0
106,-72,45,-28,105,92,0
117,-117,92,-75,108,107,0
96,-62,53,-34,92,69,0
84,-46,44,-27,74,61,0
117,-113,91,-74,96,85,0
106,-67,41,-25,96,78,0
106,-70,79,-60,102,78,0
120,-112,62,-43,109,82,0
122,-114,45,-27,114,92,0
119,-115,55,-37,112,80,0
111,-74,52,-33,109,77,0
115,-124,80,-61,121,113,0
121,-112,86,-67,111,87,0
123,-113,49,-31,114,75,0
106,-64,62,-43,105,68,0
109,-68,38,-22,96,71,0
103,-112,19,-8,108,82,0
122,-119,50,-32,119,103,0
106,-66,61,-42,104,64,0
123,-115,119,-112,105,80,0
119,-110,58,-39,108,77,0
105,-113,83,-65,105,53,0
97,-61,65,-46,98,72,0
118,-118,58,-39,112,69,0
122,-112,51,-33,113,78,0
96,-64,98,-83,88,50,0
97,-68,75,-56,98,66,0
110,-72,46,-28,105,91,0
64,-66,89,-72,80,76,0
92,-54,70,-50,84,88,0
118,-114,45,-28,110,89,0
70,-77,70,-51,76,70,0
109,-99,46,-28,94,64,0
94,-57,62,-43,90,61,0
114,-117,35,-20,110,88,0
121,-118,89,-72,113,95,0
119,-113,63,-44,109,68,0
94,-57,81,-63,90,58,0
109,-72,57,-38,104,65,0
113,-71,39,-23,107,89,0
94,-60,47,-29,93,67,0
118,-121,96,-80,121,95,0
110,-108,48,-30,112,86,0
119,-115,112,-102,106,60,0
96,-62,81,-62,88,59,0
111,-71,37,-21,105,98,0
123,-117,68,-49,115,85,0
121,-115,59,-40,112,71,0
112,-105,77,-58,108,103,0
112,-108,43,-26,105,88,0
118,-111,53,-35,102,69,0
105,-71,66,-47,107,79,0
86,-66,50,-32,95,78,0
117,-116,90,-72,109,98,0
109,-70,43,-26,107,89,0
107,-74,97,-81,106,81,0
102,-114,44,-27,115,88,0
111,-102,45,-27,92,62,0
104,-68,54,-35,93,73,0
104,-69,59,-40,98,77,0
125,-122,56,-37,122,101,0
122,-114,39,-23,118,101,0
103,-69,88,-70,95,64,0
121,-114,97,-81,110,103,0
111,-71,44,-27,99,83,0
122,-119,47,-29,118,92,0
107,-60,84,-65,97,85,0
119,-114,57,-38,112,75,0
119,-111,40,-23,113,93,0
108,-72,46,-28,104,85,0
103,-66,60,-41,103,86,0
119,-110,59,-40,110,78,0
121,-118,38,-22,117,100,0
109,-65,47,-29,104,73,0
102,-69,69,-50,97,66,0
121,-118,83,-64,114,92,0
85,-51,80,-61,79,58,0
123,-116,38,-22,116,108,0
110,-72,44,-27,100,85,0
104,-71,58,-39,96,76,0
108,-49,56,-37,92,73,0
111,-112,50,-32,110,80,0
112,-118,41,-24,115,90,0
110,-70,46,-28,108,89,0
90,-59,49,-31,93,68,0
82,-37,74,-54,80,64,0
107,-67,102,-88,94,78,0
103,-74,77,-57,107,70,0
116,-116,25,-12,113,92,0
101,-51,56,-37,85,74,0
120,-114,61,-42,105,80,0
104,-63,99,-83,93,66,0
105,-113,15,-5,106,79,0
120,-114,40,-23,113,86,0
102,-70,60,-41,101,76,0
120,-114,50,-32,117,85,0
107,-71,81,-62,104,94,0
124,-119,56,-37,113,94,0
122,-121,78,-59,115,90,0
122,-118,53,-35,114,76,0
123,-116,50,-32,112,87,0
111,-61,49,-31,99,57,0
123,-121,51,-33,122,88,0
108,-72,53,-34,104,56,0
120,-115,41,-24,116,83,0
113,-106,68,-49,95,92,0
118,-115,58,-39,108,81,0
120,-113,44,-27,113,94,0
106,-72,50,-32,104,79,0
102,-58,123,-119,83,45,0
121,-120,46,-28,118,105,0
96,-66,72,-53,95,100,0
122,-116,45,-28,116,96,0
125,-115,68,-48,112,91,0
108,-74,66,-46,108,73,0
122,-114,40,-24,118,98,0
104,-68,50,-32,99,78,0
90,-59,48,-30,91,55,0
119,-109,39,-22,110,86,0
114,-106,66,-47,96,105,0
97,-115,25,-12,120,91,0
104,-71,48,-30,101,77,0
93,-37,94,-78,88,59,0
121,-116,59,-40,114,92,0
87,-59,14,-4,97,64,0
103,-65,37,-21,95,77,0
111,-114,85,-67,111,69,0
121,-114,77,-58,106,71,0
123,-119,50,-31,119,95,0
105,-68,42,-25,94,65,0
112,-65,47,-30,100,68,0
104,-67,41,-24,98,82,0
109,-113,34,-19,111,94,0
104,-72,68,-48,99,74,0
104,-67,91,-73,96,70,0
97,-60,81,-62,94,72,0
107,-69,119,-113,95,70,0
105,-65,61,-42,104,65,0
66,-60,86,-68,92,84,0
121,-114,46,-29,114,91,0
106,-71,50,-32,93,82,0
95,-55,47,-30,83,60,0
76,-43,76,-57,76,37,0
121,-113,56,-37,108,74,0
107,-64,62,-42,103,69,0
120,-113,65,-46,108,83,0
119,-116,43,-26,116,91,0
84,-55,71,-51,88,52,0
105,-70,53,-34,98,80,0
115,-111,63,-44,109,74,0
122,-115,61,-42,112,70,0
111,-59,56,-37,92,71,0
88,-49,56,-37,79,59,0
122,-118,61,-42,118,90,0
81,-67,44,-26,95,74,0
120,-114,63,-43,106,85,0
120,-111,45,-27,106,83,0
101,-70,69,-50,96,66,0
124,-123,86,-68,121,118,0
116,-114,101,-86,98,85,0
125,-125,80,-61,122,106,0
125,-119,53,-35,119,99,0
112,-71,50,-32,103,85,0
123,-110,42,-25,113,81,0
119,-109,42,-25,106,78,0
110,-71,50,-32,108,81,0
100,-63,46,-28,92,75,0
120,-112,47,-29,110,86,0
107,-71,46,-28,105,88,0
106,-72,56,-37,101,73,0
94,-67,71,-51,98,63,0
122,-116,68,-48,119,83,0
117,-110,47,-30,106,70,0
79,-81,66,-46,86,90,0
121,-112,62,-42,104,80,0
110,-60,54,-35,91,71,0
112,-108,66,-47,106,82,0
122,-122,75,-55,116,93,0
125,-125,87,-69,124,103,0
93,-58,80,-61,90,54,0
100,-66,51,-32,94,60,0
104,-67,55,-36,92,72,0
111,-113,25,-12,110,83,0
99,-113,44,-27,112,83,0
120,-112,57,-38,114,66,0
122,-115,80,-61,112,89,0
88,-52,73,-54,84,82,0
112,-111,85,-67,98,88,0
87,-52,46,-28,86,50,0
121,-113,57,-38,113,69,0
121,-116,66,-46,108,80,0
122,-115,50,-32,117,84,0
120,-120,93,-77,115,107,0
117,-114,78,-58,110,73,0
122,-118,61,-42,117,92,0
122,-118,45,-28,115,90,0
118,-113,69,-50,99,72,0
121,-114,47,-29,110,90,0
102,-67,86,-68,96,65,0
119,-119,89,-71,118,108,0
115,-115,21,-9,110,89,0
114,-112,57,-38,102,80,0
110,-114,27,-13,112,92,0
108,-71,69,-50,107,78,0
123,-117,68,-49,115,88,0
